Train;Test;Classifier;FeatureSet;Measure;Value;IsBaseline
Boston;SanFrancisco;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.865676;0
Boston;SanFrancisco;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.859783;0
Boston;SanFrancisco;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.865676;0
Boston;SanFrancisco;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.849547;0
Boston;NYC;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.844755;0
Boston;NYC;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.840228;0
Boston;NYC;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.844755;0
Boston;NYC;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.822814;0
Boston;Dublin;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.941883;0
Boston;Dublin;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.932623;0
Boston;Dublin;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.941883;0
Boston;Dublin;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.932691;0
Boston;Chicago;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.911590;0
Boston;Chicago;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.907478;0
Boston;Chicago;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.911590;0
Boston;Chicago;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.900602;0
Boston;Memphis;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.778373;0
Boston;Memphis;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.785638;0
Boston;Memphis;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.778373;0
Boston;Memphis;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.752756;0
Boston;London;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.871429;0
Boston;London;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.875436;0
Boston;London;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.871429;0
Boston;London;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.845440;0
Boston;Sydney;NaiveBayes;+TIME, nGrams: 2;Percent Correct;0.832712;0
Boston;Sydney;NaiveBayes;+TIME, nGrams: 2;Weighted Precision;0.852017;0
Boston;Sydney;NaiveBayes;+TIME, nGrams: 2;Weighted Recall;0.832712;0
Boston;Sydney;NaiveBayes;+TIME, nGrams: 2;Weighted F-Measure;0.808655;0
Boston;Brisbane;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.859992;0
Boston;Brisbane;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Precision;0.861506;0
Boston;Brisbane;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted Recall;0.859992;0
Boston;Brisbane;NaiveBayes;+TIME+LOD, nGrams: 2;Weighted F-Measure;0.846562;0
Boston;Seattle;NaiveBayes;+TIME+LOD, nGrams: 2;Percent Correct;0.757532;0
